continent,countryregion,state,city
North America,United States,California,Berkeley
North America,United States,California,Grossmont
North America,United States,California,Lakewood
North America,United States,California,San Diego
North America,United States,Washington,Spokane
North America,United States,California,Oakland
North America,United States,California,San Carlos
North America,United States,Oregon,Beaverton
North America,United States,California,Fremont
North America,United States,California,Mill Valley
North America,United States,California,Chula Vista
North America,United States,California,Lincoln Acres
North America,United States,Oregon,Oregon City
North America,United States,Washington,Redmond
North America,United States,California,Santa Cruz
North America,United States,California,Colma
North America,United States,Washington,Burien
North America,United States,California,Burlingame
North America,United States,California,Burbank
North America,United States,California,Concord
North America,United States,California,National City
North America,United States,California,Torrance
North America,United States,California,Palo Alto
North America,United States,California,Redwood City
North America,United States,California,Newport Beach
North America,United States,California,San Gabriel
North America,United States,California,Woodland Hills
North America,United States,California,Lemon Grove
North America,United States,California,Spring Valley
North America,United States,California,Bellflower
North America,United States,California,Santa Monica
North America,United States,California,West Covina
North America,United States,California,Los Angeles
North America,United States,California,Imperial Beach
North America,United States,California,Beverly Hills
North America,United States,California,Downey
North America,United States,California,La Jolla
North America,United States,California,El Cajon
North America,United States,California,Coronado
North America,United States,California,Daly City
North America,United States,Washington,Marysville
North America,United States,Oregon,W. Linn
North America,United States,Oregon,Woodburn
North America,United States,California,San Francisco
North America,United States,California,Glendale
North America,United States,California,Novato
North America,United States,California,Long Beach
Europe,Germany,Saxony,Eilenburg
Europe,Germany,Saar,Saarlouis
Europe,Germany,Hesse,Frankfurt
Europe,Germany,Berlin,Berlin
Europe,Germany,Hesse,Offenbach am Main
Europe,Germany,North Rhine-Westphalia,Werne
Europe,Germany,Hamburg,Hamburg
Europe,Germany,Saxony,Dresden
Europe,Germany,North Rhine-Westphalia,Paderborn
Europe,Germany,North Rhine-Westphalia,Neunkirchen
Europe,Germany,North Rhine-Westphalia,Bottrop
Europe,Germany,Saar,Sulzbach Taunus
Europe,Germany,Hesse,Darmstadt
Europe,Germany,Bavaria,Erlangen
North America,United States,Washington,Seattle
North America,United States,Washington,Renton
North America,United States,Washington,Tacoma
North America,United States,Washington,Bremerton
North America,United States,Washington,Yakima
North America,United States,Oregon,Corvallis
North America,United States,Oregon,Lebanon
North America,United States,Washington,Bellingham
North America,United States,Washington,Walla Walla
North America,United States,Oregon,Portland
North America,United States,Oregon,Lake Oswego
North America,United States,Washington,Puyallup
North America,United States,Oregon,Salem
North America,United States,Washington,Kirkland
North America,United States,Washington,Olympia
North America,United States,Washington,Edmonds
North America,United States,Washington,Sedro Woolley
North America,United States,Washington,Port Orchard
North America,United States,Washington,Lynnwood
North America,United States,Oregon,Milwaukie
North America,United States,Washington,Issaquah
North America,United States,Washington,Everett
Europe,Germany,North Rhine-Westphalia,Bonn
Europe,Germany,North Rhine-Westphalia,Dusseldorf
Europe,Germany,Hesse,Mühlheim am Main
Europe,Germany,North Rhine-Westphalia,Solingen
Europe,Germany,Bavaria,Ingolstadt
Europe,Germany,Saxony,Leipzig
Europe,Germany,North Rhine-Westphalia,Munster
Europe,Germany,Lower Saxony,Hanover
Europe,Germany,Hesse,Kassel
Europe,Germany,Bavaria,Munich
Europe,Germany,Saar,Saarbrücken
Europe,Germany,North Rhine-Westphalia,Essen
Europe,Germany,Lower Saxony,Salzgitter
Europe,Germany,Baden-Wuerttemberg,Stuttgart
Europe,Germany,Bavaria,Hof
North America,United States,Washington,Ballard
Europe,Germany,Schleswig-Holstein,Kiel
Europe,Germany,Bavaria,Poing
Europe,Germany,North Rhine-Westphalia,Grevenbroich
Europe,Germany,Lower Saxony,Brunswick
North America,United States,Illinois,Carol Stream
North America,United States,New York,Clay
North America,United States,Illinois,Chicago
North America,United States,Arizona,Chandler
North America,United States,Washington,Bellevue
North America,United States,Wyoming,Cheyenne
North America,United States,Wyoming,Casper
North America,United States,Minnesota,Branch
North America,United States,Florida,Bradenton
North America,United States,Ohio,Cincinnati
North America,United States,Texas,Baytown
North America,United States,California,Camarillo
North America,United States,California,City Of Commerce
North America,United States,Texas,Cedar Park
North America,United States,North Carolina,Charlotte
North America,United States,California,Carson
North America,United States,California,Citrus Heights
North America,United States,Montana,Billings
North America,United States,Virginia,Chantilly
North America,United States,Massachusetts,Braintree
North America,United States,Florida,Clearwater
North America,United States,Georgia,Columbus
North America,United States,Washington,Bothell
North America,United States,Utah,Cedar City
North America,United States,California,Bell Gardens
North America,United States,New York,Central Valley
North America,United States,Texas,College Station
North America,United States,South Carolina,Bluffton
North America,United States,Oregon,Clackamas
North America,United States,California,Barstow
North America,United States,Texas,Carrollton
North America,United States,Georgia,Byron
